0.416,0.4244,0.4715,0.47,0.4916,0.4416,0.5424,0.5275,0.4491,0.4605,0.46,0.5263,0.4482
0.5584,0.5876,0.648,0.5691,0.6506,0.6209,0.7396,0.8493,0.5906,0.5719,0.5375,0.6212,0.416
0.5046,0.4795,0.6322,0.5463,0.6382,0.5909,0.7547,0.721,0.5732,0.5761,0.5948,0.5883,0.5584
0.4955,0.5335,0.6056,0.5617,0.5922,0.6152,0.7503,0.7273,0.6276,0.605,0.6159,0.6167,0.5046
0.5169,0.5302,0.5917,0.5612,0.6392,0.5655,0.6948,0.7078,0.5817,0.6119,0.6391,0.645,0.4955
0.7078,0.5817,0.6119,0.6391,0.645,0.4955,0.5335,0.6056,0.5617,0.5922,0.6152,0.7503,0.7273
0.7503,0.7273,0.6276,0.605,0.6159,0.6167,0.5046,0.4795,0.6322,0.5463,0.6382,0.5909,0.7547
0.6506,0.6209,0.7396,0.8493,0.5906,0.5719,0.5375,0.6212,0.416,0.4244,0.4715,0.47,0.4916
0.5302,0.5917,0.5612,0.6392,0.5655,0.6948,0.7078,0.5817,0.6119,0.6391,0.645,0.4955,0.5335
0.5691,0.6506,0.6209,0.7396,0.8493,0.5906,0.5719,0.5375,0.6212,0.416,0.4244,0.4715,0.47
0.5617,0.5922,0.6152,0.7503,0.7273,0.6276,0.605,0.6159,0.6167,0.5046,0.4795,0.6322,0.5463
0.5719,0.5375,0.6212,0.416,0.4244,0.4715,0.47,0.4916,0.4416,0.5424,0.5275,0.4491,0.4605
0.648,0.5691,0.6506,0.6209,0.7396,0.8493,0.5906,0.5719,0.5375,0.6212,0.416,0.4244,0.4715
